User ID,Comment
userID,"nồng nặc mùi tiền , trend Day and Night có đối thủ 👍"
userID,chỉ có thể là douyin 😅
userID,cuộc chiến thượng lưu
userID,18 người 17 cái xe
userID,có 1 gái còn toàn teai
userID,Trend xịn thế ai đú cùng khong 😳
userID,"Khúc đầu 18 ng, khúc sau là 20 ng 17 xe 👍"
userID,Bị ume bà áo hồng 👍
userID,nín thở chờ 100 ng timm
userID,18 người sao có 17 chiếc xe kì vậy
userID,"team này mạnh , mạnh ai đấy giàu"
userID,Bảnhhhhhh quá anh em
userID,Natra nè sẽ
userID,18 người 17 cái se 😂
userID,Woww đỉnh
userID,tính ra trong đó có mình bà áo hồng là con gái luôn á
userID,"sao tui đếm kiểu gì cũng ra 17, mà ngta lại nói 18 xe nhỉ 😥"
userID, Miiiu trend này mới đỉnh nà
userID,đỉnh thật su
userID,🎀 mình chuyển sang bế con cũng đc đấy =)))
userID,Xe này về đồng Nai sao ạ
userID,Hay
userID,😴 sao giống vn vậy ta
userID,hài vãi
userID,bổ ích quá
userID,chao nha
userID,tuyêt vơi quă em ơi
userID,tuyệt vời tôi rât thích
userID,xem tự nhiên TỊNH TÂM ghê
userID,hihi
userID,helo
userID,hay
userID,Clip hay quá lun ạ
userID,rat hay nha
userID,Cẩn thận với pacar online!
userID,nghe không hiểu ai dịch hộ ạ
userID,mong chờ video tiếp theo
userID,Xin chao idol nhe !
userID,tuyệt vời tôi rât thích
userID,tuyệt vời tôi rât thích
userID,Ai gắn mặt kokonoi vô v
userID,vô tri quá hok dám dùng =))
userID, coconut :))
userID,Triện hồi đại gia hajime kokonoi
userID,nhớ tới Kokonoi=))
userID,Mẫu voi tri thiệt chứ 😀
userID,triệu hồi Hajime Kokonoi:)
userID, lòng đất tải cả capcut về chỉ để ghép mặt chính mk vào cái này:)
userID,i'm mờ ba bí gơ 😭
userID,có i'm lemon hông😅
userID,"aduu
nhạc chuông của t 😻😻"
userID, câu câu nớtttttt
userID,t nghe ai mang cô cô nớt=))
userID,Vừa làm lunnn zô seen thử đii mấy ní ơii zô triii v
userID,tính tim mà nhìn số cười😭
userID,gắn mặt kokonoi vàoo=)))
userID, ilove coconut😬
userID,mong vợ yêu đừng có thấy cái này:))
userID,Có j đâu
userID,2.8 vô tri 😆
userID,Nhện tom holland đúng hề
userID,nhện andrew đỉnh nhất
userID,that one Andrew Garfield edit🗣️🗣️🔥‼️
userID,T tiếc nhện của Andrew quá huhu 😭 nhện chuẩn nhất trong lòng t từ ngoại hình đến tính cách
userID,"kịch bản có thể không hay, nhưng diễn xuất của Andrew và Emma là 8 nằm ngang. Còn thằng hề Tom Holland thì thôi ..😂"
userID,Tính ra ông Flash này bắt nạt Peter vì muốn cậu mạnh mẽ hơn thôi. Chứ lúc bác mất ông này ra an ủi Peter đầu tiền ấy
userID,Theo cảm nhận mình thì thấy andrew đỉnh nhất.của tom thì mình thấy được kỹ xảo thôi với ăn tình tiết sang mấy bộ kia thôi chứ không ăn sâu cốt truyện
userID,chi đeo kính là ai mà xinh thế ae
userID,PHIM 🗣️🗣️🗣️🗣️
userID,bro just dropped the hardest edit 🙏🏻
userID,theo tôi thấy nhện Andrew là ng nhện ngầu nhấu trong Trio
userID,t cực thích cách diễn tobey và andrew thôi còn ông Tom gì đấy t ko thấm đc
userID,Ai biết tên bà diễn viên bị làm đổ sơn đó ko. Xinh vãi😭😭
userID,We need that parker dunk
userID,ngầu quá k ggwen
userID,ms thấy nhện mewing💀💀
userID,"🗣🗣 ""FEIN FEIN FEIN""🔥🔥"
userID,ANDREW GARFIELD IS SO FINE BRO
userID,Hot take: andrew garfield if the most accurate spiderman.
userID,fine I’ll retwatch the amazing spider man
userID,"Ya Allah semoga gak ada korban
jiwa"
userID,ya allah semoga gk ada korban jiwa
userID,Alloh hu akbar.alloh hu Akbar .semoga selamet semuah Amin Amin yarobalalamin 🤲🤲
userID,ya Allah aku ikut cemas klo mendadak begitu tiba2 banjir
userID,ya Allah semoga selamat semua🤲
userID,"ini mah beda video, antara yg nyuci motor dan lanjutan nya bedaa"
userID,temennya kenapa g bntuin sieh.. aq yg nnton aja panik😭😭😭
userID,vidio ke dua beda tempat
userID,kyanya yg pas nyuci motor itu kaya bukan di tempat banjir nya ya
userID,Alasan gw knp gasuka ke sungai 😭
userID,infonya gimana...selamat semua ngga? 🥺 smoga pd selamat semua
userID,"keknya ini beneran soalnya waktu panik airnya emang tiba"" meluas ke samping coba aja cek"
userID,Ya Allah lindungi mereka semoga nga ada korban jiwa
userID,"banyak yg komen nanya di mna lokasi kejadiannya gk ada satupun yg di bls,cuma yg mendoakan aja yg di bls 😔,semoga semua selamat gk Da korban jiwa"
userID, koncone pie to😭
userID,Ya Allah semoga tdk korban
userID,semoga selamat semua warga yg di dekatnya amin
userID,Semoga dlm lindunganNya
userID,video gabungan
userID,beda tempat yg pas video ke 2 itu d Sumut d simbahe
userID,Mỗi lần xem vd mấy bà kiểu thí nghiệm này toàn vào thẳng trang tik tok tìm luôn part 2 không thể chờ đợi 🙂
userID,"Hỏi ngu tí, gội xong r xả nó trôi hết=))))"
userID,t đã thử với một gói nhỏ và nó ngứa khủng khiếp ạ🥰
userID,gội xong buổi tối thì oke. ban ngày nhìn như gàu 🥺
userID,Sáng hôm sau thấy chăn gối đầy lấp la lấp lánh 🤡
userID,Lm sao cho hết kim tuyến mới là chuyện 🤣
userID,Người có con nhỏ như tôi k thích điều này
userID,kim tuyến đã vậy còn kim tuyến nhuyễn khó trôi thì thôi nhé
userID,gàu lấp lánh
userID,😁t cách ngày gội vẫn bết luôn :((
userID,cách đánh ghen sang choảnh bờ linh bờ linh
userID,"kim tuyến vào da đầu nó ngứa lắm :)) mấy bà đừg bỏ vào dầu gội, bỏ vào dầu xả thì chắc là dcc"
userID,rồi lúc khô có rơi rụng đầy nhà hok trời
userID,có ngứa ko ạ?
userID,ngứa + k gội đc sạch hết trong thời gian ngắn = rơi ra giường nằm lên ngứa cả người
userID,Hỏng tóc ko bây
userID,Ngta đổ 1 màu bả đổ cho đống màu vô luôn
userID,"shampoo com glitter 😍😍😍😍
shampoo com glitter ☠️☠️☠️☠️"
userID,like my comment so I can see part 2 😅
userID,Just get glitter spray 🤦‍♀️
userID,"It is satisfying, but it doesn't feel right."
userID,Kẹo k à k hấp dẫn lắm
userID,tôi thấy tiểu đường trong tủ lạnh 😌
userID,Tủ lạnh nhà ng ta máy má oi. Người ta thích ăn gì ng ta mua
userID,"Nhiều đồ nhưng toàn đồ ngọt đối vs mình k hấp dẫn lắm. Thích tủ lạnh hoa quả, rau củ, thịt thà…."
userID,Tao thích nó ngập các loại quả hơn là kẹo🙄🙄
userID,Mấy má ngộ ghê tủ lạnh nhà ngta ngta muốn để gì thù để bộ tut lạnh của mấy má hay gì mà ý kiến lắm
userID,tủ toàn kẹo như bán tạp hoá vậy. ko giống tủ lạnh gia đình
userID,Mấy má ngộ ghee tủ lạnh nhà ngta ngta mua theo khẩu vị sở thích ngta th mấy má có ăn đâu zô nói hoài z
userID,"mik thấy 1 số bn cmt k thik kẹo nhma mik thấy tủ nhà người ta, người ta thik bỏ gì vô thì kệ người ta chứ có phải mua cho mấy bn đâu mà (còn nữa)"
userID,cô ơi liệu một mình cô có ăn hết tủ lạnh ko mà cô mua nhiều thế
userID,cho lắm chanh rồi ăn ko hết lại hỏng :)
userID,Bách hóa mini 😂😂
userID,Toyy chỉ để ý đến dàn stickers trên tủ. Nhất là cái mặt anh Jin đã đập vào mắt t đầu tiên
userID,Em chỉ xin mỗi cái tủ lạnh như này thôi Vũ 🇯🇵
userID,"Mấy má cmt ngộ ghê,tủ lạnh nhà ngta thì ngta đựng cgi thì kệ ngta,cứ kêu mãi:))))"
userID,probi mua thungd rẻ hơn ko ta:)
userID, mua choa anh cái ik 😳
userID,Mấy ông tiểu đường xem lắc đầu
userID,thấy tủ lạnh tưởng tượng tới thời covid
userID,bên messi là nv chính còn bên ronaldo là nv phụ
userID,bộ tứ anh liêm 😂😂
userID,"thằng xem 😂
thằng edit☠️"
userID,Tìm điểm chung của các nhân vật trong video 🃏
userID,"Liêm khiết collection:
anh Bảy thuyền LIÊM một đời chống lại FIFA
Vegeta một đời chống lại Frieza
Sasuke một đời chống lại Naruto
Zoro một đời chống lại hải quân"
userID,sa tị xem xog r về khóc vs bố fifa😭
userID,7 triệu lượt thích💀
userID,"12 giờ 2M tim, đẳng cấp thật👏"
userID,chắc messi k dc như này đâu
userID,Zoro chém ko đứt bóng
userID,"Messi 2 tháng :2.9m
Ronaldo 1 ngày:6.7m:))"
userID,"Bên bộ one piece kh ai Liêm khiết nhỉ :)). Drgz Vegeta, Nar là Sặc chuẩn r. Anh Liêm 👍. Anh tôi Liêm khiết ngời ngời"
userID,Zoro bị phạt nhá ae
userID,GOATTTTTTTTTTT🔥🔥🔥🔥
userID,người Việt đầu tiên
userID,10 M view trong 2 days 🗿
userID,Thk đá😎 Trái banh😴
userID,thích cái đòn của sasuke
userID,ronaldo s lại edit toàn bs nv phụ thế
userID,lac roi
userID,tuyệt vời tôi rât thích
userID,rất tuyệt vơi
userID,"part 3 sekolah beti angker
biru kabarin"
userID,"Seperti biasa
- kebelet berak
- pergi ke wc, ternyata cuma kentut
- tetep cebok🗿"
userID,emangnya asli sekolah beti angker mak beti ???
userID,lahir tahun 1992 umur masih 15 😂😂😂
userID,seru sambil puasa nonton ini
userID,btw gw masih hidup🗿
userID,name game plis
userID,:gw tipe liat mak beti sama makan
userID,salfok sama suara bel ny
userID,baru masuk langsung dikasih tugas anjir😭😭
userID,pas akhir bikinn kaget anjirrr😭😭🗿🗿
userID,IRA NAMA KU COKKK💀
userID,guru nya beti itu risma
userID,"lu PP kucing ramadhan?
gua follow!!"
userID,part 4 sekolah beti angker
userID,mak beti aku semalam di depan rumah mak beti deket sampeng gerbang
userID,halo mak beti
