User ID,Comment
userID,admin cho em theo với
userID,"Các ông cứ chém! Thế nào cũng phải đc gặp gỡ, hỏi han rồi chứ?"
userID,vụ này bh VNI thì phải 😬
userID,vãi
userID,"Các ông cứ chém! Thế nào cũng phải đc gặp gỡ, hỏi han rồi chứ?"
userID,vụ này bh VNI thì phải 😬
userID,vãi
userID,Xuống giã cho nó 1 trận
userID,Lôi xuống cho mấy cái chày vào đầu!
userID,lùi xe khôn thế này ai đỡ được 😳😳😳
userID,Lxe đẳng cấp.... “lùi như tiến “xong luk đền thì “tiền như núi “😂
userID,"Tôi là lái xe Kia Morning đây, clip này được đăng lên Otofun ngày 18/3/2016."
userID,"lùi đường nhiều nhà dân, lại xa còn nhanh không có người phụ, tai nạn lại bảo nghề nó bạc... chịu"
userID,Vay mà nó thi đậu bằng lái moi hay chứ
userID,Ae lào cai chắc k muốn thấy vd này đâu nhỉ 😄
userID,"xe con nó lọt gương ko nhìn thấy, cụ fai đánh chếch ra để họ nhìn tháy xe 😂😂"
userID,nhiều lúc hoạ vào thân kiểu này mình bị 1 lần nó đỗ đèn đỏ trôi xe mình lui lại dính thằng sau đen
userID,ko biết bấm còi à? còn còi rồi mà nó vẫn lùi thì xuống lấy đồ là vừa
userID,xe m có còi để ngắm hả
userID,tiếp theo là đấm k trượt phát lào
userID,Hâhhaha😅😅😅
userID,Nó mở nhạc. Nge phiêu quá đây mà
userID,thằng tx xe ben còn sống hk
userID,Ô tô: Thôi e đến tháng k chơi đâu 😂
userID,
userID,Học lái xe thế này có mà k đền nổi😂
userID,
userID,Xe công nông csgt ko thấy chứ bạn vượt 100% csgt thấy liền
userID,Phải phạt csgt trước vì để xe công nông lăn bánh trên đường của bố chúng nó.😏
userID,Cuối năm lại phát bánh mì cho anh em về quê
userID,chim mồi đặc sản vùng miền
userID,giao thôg vùng đó nghe bảo ăn dày lắm
userID,công nông làm j có giấy phép 😂😂
userID,úi cây xăng chỗ giốc ông bồ kìa
userID, Tùng🚚 dữ vậy idol
userID,"1 lần m cũg bị y vậy! Phi thẳng lên cách 1km chỗ có chốt CSGT chủ động vào báo có xe bị cấm lưu hành-cản trở giao thôg! Được bắt tay biểu dươg, mời đi"
userID,chắt chạy công nông có bằng
userID,Đăk nông Đăk Lăk cay lắm 😂
userID,xe đi đầu là chim mồi của csgt
userID,"xe bác trọng hoặc bác tô Di ql14 cũng phải bò theo sau nó nhé, vượt qua là lụm liền"
userID,cấm sao ko thu xe luôn sử phát lm quái gì
userID,công nông giấy phép gì vậy😂
userID,sao bên là kia trống kg xe nào vượt lên vậy 😂😂😂 ngoan quá
userID,đặc sản 47
userID,cán bộ ko thấy ko hay . dù nó đã thành thương hiệu😳
userID,tô Lâm đã xem. chờ lệnh bế như ở hd
userID,Xe công nông là xe đặc chủng thì phải
userID,ko quang tâm ong này mà chỉ muốn biết đằng sau lưng là quang tham nào đây hoặc rửa tiền cho to chức nào
userID,chỉ mong thoát nợ F88 mà máy 5 rồi kg thoát
userID,"dính vòng lao lý thì xe cũng chẳng để làm gì, như con rolls Royce của anh quyết,ngân hàng đấu mãi chẳng ai giám mua"
userID,Cứ giỏi là bị bế
userID,"Giờ bán xe , nhà chạy án thôi"
userID,tiền mồ hôi công sức của người ngheo cùng đường
userID,Ủa vưa sáng nay vẫn vay của f88 20 củ song
userID,con mình cắm xe ôtô vay tiền E88 bố mẹ phát hiện ra trả góc và lãi mới 9 ngày trả tiền lãi suất 14 triệu tiền lãi suất cắt cổ mới nguoi oi
userID,hóng chờ xem ông chủ FE giàu có cỡ nào 🤣🤣🤣
userID,Tóm lại là tay nào cứ đi rollroy thì liệu hồn .
userID,ngủ 5 là ngũ Quỷ nên lua ngủ 7 thần tài là k bị bắt
userID,"Giờ đi xe biển xanh, có mào, còi kêu Tọp Tọp 😂😳"
userID,Toàn tiền xương máu của dân mà
userID,không có cây lớn đứng phía sau chồng lưng chắc đã tồn tại được đến bây giờ ...
userID,Có người trống lưng hết rồi
userID,Thánh họ cái xã hội này
userID,Ông chủ này hình như quê nam định
userID,Nhìn chú biết người tốt r
