Sentence,Emotion
cho mình xin bài nhạc tên là gì với ạ,0
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,-1
lo học đi . yêu đương lol gì hay lại thích học sinh học,-1
uớc gì sau này về già vẫn có thể như cụ này :)),1
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,1
thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,-1
một lí do trog muôn vàn lí do,0
thật hay đùa ác vậy . không thể tin được,1
ko phải con mình   mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ   đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠,-1
per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,-1
công nhận sáng tạo thật đấy,1
đòn tấn công cực gắt và cục sút của anh 😂😂😂,-1
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,0
minh biết nữa ne,1
mấy thằng củ lol việt nam nhảm nhí :)),-1
tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣   bi ̣ lơ ̉ miê ̣ người,-1
bếp dầu   nhiều nhà vẫn dùng,0
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,0
thời buổi bây chừ chuyện gì cũng có thể xảy ra   vậy nên thôi trất   đừng nên tin ai,-1
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,1
con chó đăng video   mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à,-1
coi video chưa hiểu gì đã làm ầm lên,-1
chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,1
yêu chết đi được .,1
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,-1
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,-1
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,-1
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,-1
t gặp quả này thì bỏ xe mà chạy ??,-1
thế con trai là của ai cho,0
per đây mí chính là cụ tổ của những chiếc sừng này,1
muốn share về mà sợ bị bạn nè phẫn nộ quá,-1
hồi học lớp 5 bảo bố đi mua sgk cho   xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂,-1
nay buồn :(((,-1
cv không áp lực   môi trường xung quanh mới dễ tạo áp lực,-1
ai có link nhạc mấy bài trên không ạ hay vãi ra,1
đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,0
phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,0
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,-1
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,1
đéo được tích sự gì 😂,-1
haizzz ... thế là chưa có kq gì tốt đẹp cả ..,-1
bản thân cố gắng cũng chẳng dễ dàng gì :((,-1
nói chung là 1 lũ lừa gạt thôi   việt nam mình là vậy đó,-1
thế em ăn cơm chưa ?,0
thu trăm tỷ phạt 5tr   lại qua tỉnh khác hành nghề ha ha,0
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,-1
mày coi chừng có ngày tao dã dô mặt mày như dzầy,-1
canh thời gian đăng đúng vãi !,1
quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,-1
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,-1
mình thi xong còn không khóc được 😢,-1
mỗi ngày mình ôm nhau 1 cái như này hén   hí hí,1
per trừ điểm   trừ điểm,-1
5 triệu   phạt một con mụ lừa đảo   phá hủy niềm tin phật giáo   làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !,-1
cả tuần không được nói chuyện,-1
per mày cẩn thận tao giết,-1
cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,-1
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),0
đẹp trai quá,1
đóng cái lồn tao nè chứ đóng,-1
khổ thân người dân   trước dự án cao su là dự án cà phê   làm thêm dự án nữa coi như một đời bỏ phí,-1
hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4   5 năm rồi những nhớ nó lắm 😓,-1
hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),1
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,-1
con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi   cuộc sống lạ lùng vãi 😕,-1
dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,1
ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,-1
giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,-1
per tao được làm fan cứng giống mày rồi 🤣,1
xem cái này mới biết vốn tiếng anh của mình cũng khá !,1
thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,-1
ôi bé xinh gái vãi :)),1
cười sái mẹ quai hàm,1
rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,-1
tự dưng cay mẹ mắt,-1
tao sợ thật sự :(((,-1
per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,1
tốt quá,1
ông nào viết vui tính thế =)) cưng thật,1
không hiểu sao nhìu người lại thả haha nhỉ ??,1
diễn viên già vãi -.-,-1
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,1
cưng quá đi,1
nhìn mẫu này lạ mắt mà đẹp quá,1
tao cay mẹ khoé mắt,-1
thấy mệt thêm chứ chẳng khỏe gì cả .,-1
:)) đang ăn mỳ   không có trứng nhạt lắm   có rụnng thì xin vài quả !,1
cảm ơn nói chuyện nhật ! 1 nền khoa học   giáo dục   trí tuệ văn minh !! 😘,1
tao mệt chúng mày quá,-1
hahaha lúc trước ca làm có 4 chị em vui biết bao :)),1
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,-1
các bạn đang bảo con này ah 😂😂😂,0
má chủ dễ thương vậy tao cũng muốn xin,1
"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",1
có những con người luôn phải chịu đắng cay   cta không được chọn gia đình   bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng,-1
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,-1
nhìn thương quá ... lao động nghiêm túc,1
đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),-1
per mấy trụ kia em không tag được,0
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,-1
per ơ ơ ơ đây là đâu vậy,1
gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,-1
thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk   người có ăn học có ý thức sẽ không nói ra câu đó .,-1
k phải là trời không cho mày yêu . vì m quá ngulon,-1
per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha   nó biết nó nhổ trụi lông nó ngắt mép chết đó :((,-1
hết tiền rồi này,-1
đẹp   dẽ thương mà,1
tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,-1
phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,1
thế làm sao dỗ bạn gái đang giận :(,-1
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),-1
loài này bé như ngón tay phàm ăn lắm sợ luôn,-1
phí dịch vụ cao nhất   chuyển tiền nội mạng trừ phí tởm nhất   thái độ làm việc bố láo nhất   ít ưu đãi nhất ....,-1
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,-1
chẳng đủ dịu dàng để níu bước chân anh,-1
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,0
mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,1
em chưa có người yêu . có ai yêu em không . em cô đơn quá,-1
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,1
per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),1
bả đòi cái gì vậy ?,0
cái thứ ba   trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa,-1
per biết không :))),1
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,-1
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,-1
cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,-1
lên án nhiều rồi mà vẫn thế .,-1
thằng này ngu vãi,-1
cây tre có tận trăm đốt luôn hả ???,1
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,-1
per mợ mệt   trưa nào cũng nhìn mày nhai chóp chép ..,-1
đừng nên thích mấy ông anh cơ bắp   sợ lắm 😆,-1
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,1
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,-1
và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,-1
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,-1
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,-1
tao thấy giống khùng với lại vô duyên chứ hay gì,-1
cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,1
t gặp ngỗng chạy bỏ dép,-1
vừa ngu vừa ngông thì thế   làm trễ tàu của người ta,-1
sao nó trèo lên được hay vậy @@,1
khuôn mặt ngây thơ vô số tội   trái tim nhỏ bé của tao sao chịu được ❤❤❤,1
cuộc sống mà đành chịu thôi =(((,-1
cấp 3   đáng tiếc nhất trong thời học sinh ^^,-1
per mình đang nói phần lớn thôi   chứ tất nhiên cũng có ngoại lệ mà,0
thích chị này nhất phim í   bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3,1
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,-1
t thấy chả có gì thú vị .,0
vậy mà củng chẳng hút được khách !,1
khi nào lên chùa ba vàng giải được vong thì kết hôn :)),1
thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,-1
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,1
cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,-1
bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,0
em đi bộ chết mẹ đây này,-1
"thật tốt vì chú chó ấy đã tìm được người yêu thương nó   kiên trì để nó tin tưởng thật sự :"">",1
phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận   vui không ra vui .,-1
nhìn mặt nó khó ưa thật chứ,-1
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),0
giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,0
một cái ngu thật sứng đáng,-1
năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,1
hãy dùng một đời để minh chứng nhé !💕😍,0
con mụ đen sai còn già mồm ...,-1
chỉ cần yên bình như thế này thôi . ❤️❤️❤️,1
năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,-1
chỉ sợ lúc nó dí,-1
hên là chay ra kip,1
immm,-1
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,-1
đa ́ người yêuc quá ́,1
5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi   chứ phạt g đâu   xếp lớn của bà và xếp lớn của công an phường là 1   ai lại đi đá gà nhà ...,-1
kinh dị v,-1
thật may em đã gặp được người tài xế tốt 🌸🌸,1
bắn không trượt phát nào luôn à,1
tại sao mày nằm viện mà vẫn xinh thế ??,1
đẹp trai mà bị đá à,1
cho con được thay ông bán vé đi 😔,-1
lớp xuất hiện thứ âm binh,-1
đọc bình luận cười ẻ,1
per cách này coi bộ hay nha 😂,1
mặt đúng kiểu   em hiểu cảm giác phê của anh không kkk,1
per thanh niên suốt ngày hát karaoke max volum,-1
lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,-1
bố mày ngứa mắt lắm rồi đấy,-1
thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),-1
cả đám súc vật này,-1
bố mấy thằng bệnh,-1
thật khó để có cả 2 khi chúng ta còn trẻ :),-1
nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,-1
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,1
